9.919802e-05 6.231137e-38 5.975391e-38
1.008034e-04 5.966275e-38 6.341616e-38
1.024087e-04 5.716594e-38 5.126762e-38
1.040141e-04 5.481005e-38 4.384149e-38
1.056194e-04 5.258513e-38 4.448901e-38
1.072248e-04 5.048208e-38 5.684215e-38
1.088301e-04 4.849254e-38 5.681540e-38
1.104355e-04 4.660884e-38 4.778113e-38
1.120408e-04 4.482394e-38 5.489108e-38
1.136462e-04 4.313135e-38 4.847890e-38
1.152515e-04 4.152508e-38 3.428305e-38
1.168569e-04 3.999963e-38 3.532285e-38
1.184622e-04 3.854990e-38 4.427439e-38
1.200676e-04 3.717118e-38 3.980558e-38
1.216729e-04 3.497210e-38 3.072739e-38
1.232783e-04 3.285493e-38 3.869747e-38
1.248837e-04 3.089088e-38 2.928426e-38
1.264890e-04 2.906712e-38 2.633443e-38
1.280944e-04 2.737203e-38 2.595418e-38
1.296997e-04 2.579509e-38 2.284940e-38
1.313051e-04 2.432675e-38 2.411497e-38
1.329104e-04 2.295833e-38 2.475210e-38
1.345158e-04 2.168196e-38 2.313774e-38
1.361211e-04 2.049045e-38 1.826037e-38
1.377265e-04 1.937726e-38 1.726514e-38
1.393318e-04 1.833640e-38 1.886015e-38
1.409372e-04 1.736244e-38 2.019153e-38
1.425425e-04 1.645037e-38 1.470417e-38
1.441479e-04 1.559564e-38 1.532675e-38
1.457532e-04 1.479406e-38 1.323146e-38
1.473586e-04 1.410763e-38 1.345127e-38
1.489639e-04 1.359655e-38 1.435894e-38
1.505693e-04 1.310917e-38 1.329633e-38
1.521746e-04 1.264416e-38 1.286101e-38
1.537800e-04 1.220026e-38 1.115262e-38
1.553853e-04 1.177632e-38 1.145355e-38
1.569907e-04 1.137125e-38 1.502992e-38
1.585960e-04 1.098401e-38 1.326952e-38
1.602014e-04 1.061367e-38 1.403061e-38
1.618067e-04 1.025932e-38 1.047174e-38
1.634121e-04 9.920129e-39 1.121456e-38
1.650174e-04 9.595304e-39 7.977004e-39
1.666228e-04 9.284107e-39 8.251762e-39
1.682281e-04 8.985842e-39 8.063285e-39
1.698335e-04 8.699858e-39 8.411927e-39
1.714389e-04 8.425539e-39 7.142181e-39
1.730442e-04 8.162306e-39 7.658787e-39
1.746496e-04 7.909616e-39 8.650505e-39
1.762549e-04 7.666954e-39 7.529965e-39
1.778603e-04 7.433837e-39 7.983878e-39
1.794656e-04 7.208881e-39 7.305725e-39
1.810710e-04 6.966912e-39 6.962236e-39
1.826763e-04 6.735095e-39 6.455271e-39
1.842817e-04 6.512919e-39 6.723320e-39
1.858870e-04 6.299905e-39 5.458703e-39
1.874924e-04 6.095600e-39 7.137005e-39
1.890977e-04 5.899579e-39 5.291545e-39
1.907031e-04 5.711440e-39 6.301255e-39
1.923084e-04 5.530803e-39 6.071958e-39
1.939138e-04 5.357310e-39 5.349741e-39
1.955191e-04 5.190623e-39 5.946250e-39
1.971245e-04 5.030422e-39 5.802593e-39
1.987298e-04 4.876406e-39 4.172571e-39
2.003352e-04 4.728288e-39 5.006750e-39
2.019405e-04 4.585797e-39 3.773175e-39
2.035459e-04 4.448679e-39 5.893878e-39
2.051512e-04 4.316689e-39 4.243149e-39
2.067566e-04 4.189600e-39 3.602981e-39
2.083619e-04 4.067192e-39 4.176739e-39
2.099673e-04 3.949259e-39 3.035572e-39
2.115726e-04 3.835605e-39 3.174458e-39
2.131780e-04 3.726044e-39 3.708026e-39
2.147834e-04 3.620400e-39 3.610291e-39
2.163887e-04 3.518505e-39 4.584663e-39
2.179941e-04 3.420199e-39 2.537404e-39
2.195994e-04 3.331349e-39 3.794495e-39
2.212048e-04 3.262574e-39 3.290511e-39
2.228101e-04 3.195700e-39 3.279713e-39
2.244155e-04 3.130663e-39 3.271162e-39
2.260208e-04 3.067398e-39 3.288997e-39
2.276262e-04 3.005847e-39 2.752294e-39
2.292315e-04 2.945950e-39 3.297316e-39
2.308369e-04 2.887652e-39 3.275953e-39
2.324422e-04 2.830900e-39 4.299887e-39
2.340476e-04 2.775643e-39 2.646656e-39
2.356529e-04 2.721830e-39 2.423961e-39
2.372583e-04 2.669416e-39 2.912722e-39
2.388636e-04 2.618355e-39 2.872753e-39
2.404690e-04 2.568603e-39 2.663772e-39
2.420743e-04 2.520117e-39 2.443686e-39
2.436797e-04 2.472859e-39 2.589271e-39
2.452850e-04 2.426788e-39 1.835222e-39
2.468904e-04 2.381868e-39 2.556765e-39
2.484957e-04 2.338062e-39 2.877972e-39
2.501011e-04 2.295336e-39 1.960482e-39
2.517064e-04 2.253657e-39 2.448562e-39
2.533118e-04 2.212993e-39 1.939182e-39
2.549171e-04 2.173312e-39 2.380711e-39
2.565225e-04 2.134585e-39 2.556869e-39
2.581278e-04 2.096784e-39 2.336327e-39
2.597332e-04 2.059880e-39 2.269303e-39
2.613386e-04 2.023847e-39 1.916931e-39
2.629439e-04 1.988659e-39 2.106839e-39
2.645493e-04 1.954292e-39 2.034065e-39
2.661546e-04 1.920721e-39 2.014467e-39
2.677600e-04 1.887924e-39 1.626889e-39
2.693653e-04 1.848311e-39 1.265004e-39
2.709707e-04 1.809624e-39 1.872274e-39
2.725760e-04 1.771969e-39 1.647661e-39
2.741814e-04 1.735311e-39 1.935521e-39
2.757867e-04 1.699619e-39 1.502573e-39
2.773921e-04 1.664861e-39 1.639680e-39
2.789974e-04 1.631010e-39 1.772782e-39
2.806028e-04 1.598034e-39 1.680777e-39
2.822081e-04 1.565908e-39 1.470994e-39
2.838135e-04 1.534605e-39 1.450124e-39
