9.838740e-05 6.371021e-38
1.202015e-04 3.705924e-38
1.468522e-04 1.427398e-38
1.794118e-04 7.217181e-39
2.191903e-04 3.349188e-39
2.677884e-04 1.887349e-39
3.271616e-04 9.252252e-40
3.996987e-04 5.335236e-40
4.883186e-04 3.296418e-40
5.965869e-04 2.103836e-40
7.288601e-04 1.475564e-40
8.904605e-04 1.114297e-40
1.087890e-03 8.348947e-41
1.329094e-03 6.724147e-41
1.623776e-03 4.344169e-41
1.983794e-03 3.151725e-41
2.423634e-03 2.236188e-41
2.960993e-03 1.191405e-41
3.617495e-03 6.821757e-42
4.419553e-03 4.991134e-42
5.399442e-03 5.797389e-42
6.596587e-03 7.288601e-42
8.059160e-03 1.040815e-41
9.846010e-03 1.407871e-41
1.202903e-02 2.058196e-41
1.469607e-02 2.781109e-41
1.795443e-02 3.732621e-41
2.193523e-02 4.707324e-41
2.679863e-02 5.459894e-41
3.274033e-02 5.651348e-41
3.999941e-02 4.486476e-41
